review_text,rating,date,bank,source,app_name,app_id
The worest mobile banking app,1,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It crash repeatedly! Try to make it more stable for customers need meet!,2,2024-05-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
very good,5,2025-09-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Muhammaadamaan musxafaa,5,2024-03-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
No feature works correctly. Its always buffering and needs probably high data. So its useless 😏😏😏,2,2024-04-30,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It's good Rate app,5,2024-03-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
GOAT 🐐 🐐,5,2024-11-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
🙏,5,2024-04-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Nice one thanks abisiniya,5,2024-05-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The App's crash always.. Error.....,3,2024-09-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
ምርጥ ነው,1,2025-07-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
best bank in ethiopia,5,2025-07-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"This app has been found useless while I compared with the first version of IB12111...that was very good, you guys what is the matter with you. You are far from the technology and the competetor's digital product through convenience, reliable, easeness _-dashen, cbe, zemen... they are doing well! share their experience and be able to satisfy your esteemed customers including me. unless you will be down soon!",1,2024-04-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
all worck,5,2025-03-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Very Good,5,2025-09-09,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
To get good quality,5,2024-07-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
I like this bank by his activity and respect castemers i look like my house,5,2024-04-22,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"With every update the app keeps on getting worse,it is filled with bugs",1,2024-04-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It is very bad app. not friendly usable. needs extremely strong network. Can't be updated easily.,1,2024-02-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good job,5,2024-08-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
goof,5,2025-06-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
GOOD HARMONY BANK,5,2024-05-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It's nice apps,1,2024-06-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
ab,3,2024-11-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
i can't use this app why?,5,2025-03-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
it good,5,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
AoB,2,2024-03-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
አፑ በጣም አስቸጋሪ ሆኗል,1,2024-06-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Betanya Gebre,3,2024-08-23,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
bad exprience...it is so crushed,1,2025-11-08,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
App good. how money transfer tele birr agents,1,2024-02-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Very poor app. It crashes every time, doesn't load properly, and you can't even buy airtime. The programming is subpar. Please take lessons from other online banking apps. I would give it a zero if I could!!",1,2024-05-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Best,2,2025-04-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Ok,5,2024-09-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Best 100%,5,2024-04-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
The forest app ever,1,2024-12-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
so far good but always it lugs,3,2024-08-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
good,5,2025-03-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"One of the weakness in BOA is it's mobile App. I hope this will address some of them, but it is very critical to work on modernizing and ensuring the security of it's mobile banking system in this digitalized world",3,2024-02-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
👍👍👍,5,2024-06-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"The updated version of this app is just time wasting. It doesn't work with 2G/3G network.require log in frequently,not fast as much as possible.automatic log out are the bad features of this app",1,2024-04-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Best version of boa apps,1,2024-03-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"Ultimately, the worst mobile banking experience ever left me feeling exasperated and disillusioned.Its a nightmare",1,2024-04-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"It's not working as it was , so much need to improve, it was the best but not anymore",2,2024-08-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
Good app,5,2024-11-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
"After last update, the app keeps crashing, not working. Pls fix it. Mobile transactions become impossible.",1,2024-05-02,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking
