review_id_generated,review,rating,date,bank,source,app_name,app_id,review_preprocessed,sentiment_label,sentiment_score,identified_theme
0,Very good app!!,5,2024-02-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Very good app!!,POSITIVE,0.5827,General Feedback
1,office branches have to improve their services please,4,2025-10-07,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,office branches have to improve their services please,POSITIVE,0.6369,General Feedback
2,The update app is the worest one when i compare with past.,1,2024-04-28,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The update app is the worest one when i compare with past.,NEUTRAL,0.0,Feature Requests & General
3,Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Whenever I try to sign in app close please fixed it out,POSITIVE,0.3182,General Feedback
4,It is not fast,3,2024-07-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It is not fast,NEUTRAL,0.0,Transaction Performance
5,good for mb appliciation,5,2025-10-21,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,good for mb appliciation,POSITIVE,0.4404,General Feedback
6,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,NEGATIVE,-0.702,Transaction Performance
7,This app is the most worst app I used in Ethiopia and belive me I know I live in Ethiopia. Being the fincial app It doesn't work when you want it. It makes you wait for cash out code and immediately debit the amount before sending the code I have got to say abysinia bank I didn't expect this from you and I use CBE mobile banking,1,2024-05-18,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,This app is the most worst app I used in Ethiopia and belive me I know I live in Ethiopia. Being the fincial app It doesn't work when you want it. It makes you wait for cash out code and immediately debit the amount before sending the code I have got to say abysinia bank I didn't expect this from you and I use CBE mobile banking,NEGATIVE,-0.624,General Feedback
8,"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",NEGATIVE,-0.8126,Customer Support
9,The poorest mobile banking survice ever. Only error reports frequently,1,2024-07-16,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The poorest mobile banking survice ever. Only error reports frequently,NEGATIVE,-0.7351,General Feedback
10,"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"this app does no work on Samsung a51, it just gives a preview of the logo",NEGATIVE,-0.296,General Feedback
11,great boa,5,2025-04-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,great boa,POSITIVE,0.6249,General Feedback
12,"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",1,2024-08-20,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",NEGATIVE,-0.431,Account Access Issues
13,"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"I am Aimohon Joel , It's can be Good for a Better Conversation in Time  slightly_smiling_face ",POSITIVE,0.7003,General Feedback
14,Preventing login because I have developer options on is not security. Moved all my money somewhere else because I just didn't wanna deal with it,1,2024-05-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Preventing login because I have developer options on is not security. Moved all my money somewhere else because I just didn't wanna deal with it,NEGATIVE,-0.2815,General Feedback
15,"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",NEGATIVE,-0.8758,General Feedback
16,"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"For anyone who wants to download it, just don't!!!",NEUTRAL,0.0,General Feedback
17,the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,the lag is unbelievable when you need it the most this suks,NEGATIVE,-0.1531,Transaction Performance
18,The worst experience ever,1,2024-08-29,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The worst experience ever,NEGATIVE,-0.6249,User Interface & Experience
19,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",NEGATIVE,-0.4639,Account Access Issues
20,Sorry to say it is very poor apps I have decided to suspend the BoA account,1,2024-04-25,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Sorry to say it is very poor apps I have decided to suspend the BoA account,NEGATIVE,-0.7178,General Feedback
21,The worst App i have never seen like this before,1,2024-11-12,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The worst App i have never seen like this before,NEGATIVE,-0.7359,General Feedback
22,I can't use the app unless I turn off developer mode?? What kind of stupid rule is that?? The worst experience for a banking app!!,1,2024-05-26,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,I can't use the app unless I turn off developer mode?? What kind of stupid rule is that?? The worst experience for a banking app!!,NEGATIVE,-0.8844,User Interface & Experience
23,Professional on banking app,5,2024-11-01,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Professional on banking app,NEUTRAL,0.0,General Feedback
24,It closes playing audio app when it is opened . What is the solution?,5,2024-04-06,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It closes playing audio app when it is opened . What is the solution?,POSITIVE,0.4767,General Feedback
25,The app is not showing my balance or any transaction it is like corrupted showing usd amounts,1,2024-04-13,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,The app is not showing my balance or any transaction it is like corrupted showing usd amounts,POSITIVE,0.3612,General Feedback
26,Not working properly always loading !,3,2024-02-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,Not working properly always loading !,NEUTRAL,0.0,Transaction Performance
27,"Please add an option to manually input the OTP. I am residing outside of Ethiopia. I encountered difficulty accessing my account following the recent update (change) of your mobile banking app. Unfortunately, I am unable to activate the app on my mobile device. During the activation process, the app prompts for an OTP, which I can receive via Telegram. However, there is no option to manually input the OTP. I kindly request your assistance in resolving this matter and activating my account",3,2024-02-03,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"Please add an option to manually input the OTP. I am residing outside of Ethiopia. I encountered difficulty accessing my account following the recent update (change) of your mobile banking app. Unfortunately, I am unable to activate the app on my mobile device. During the activation process, the app prompts for an OTP, which I can receive via Telegram. However, there is no option to manually input the OTP. I kindly request your assistance in resolving this matter and activating my account",POSITIVE,0.3016,Feature Requests & General
28,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,"The most useless app, I never expected such an irrelevant app from BOA. big shame!",NEGATIVE,-0.7569,General Feedback
29,so far good but always it lugs,3,2024-08-17,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,so far good but always it lugs,POSITIVE,0.2707,General Feedback
30,It is good &fast to open!!,5,2024-02-14,BOA,Google Play,Bank of Abyssinia,com.boa.boaMobileBanking,It is good &fast to open!!,POSITIVE,0.5399,Transaction Performance
